Zip Code,City / Community,2022,2021,2020,2019,2018,2017
90001,"South Los Angeles, Florence-Graham","$549,616 ","$527,284 ","$423,635 ","$397,713 ","$471,901 ","$366,777 "
90002,"Southeast Los Angeles, Watts","$549,846 ","$529,007 ","$417,486 ","$391,204 ","$458,807 ","$356,381 "
90003,"South Los Angeles, Southeast Los Angeles","$560,142 ","$543,489 ","$429,998 ","$402,692 ","$475,225 ","$366,072 "
90004,"Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square","$1,883,961 ","$1,861,034 ","$1,524,425 ","$1,527,987 ","$1,642,059 ","$1,420,363 "
90005,"Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square","$1,989,313 ","$1,949,094 ","$1,655,776 ","$1,643,212 ","$1,705,579 ","$1,528,888 "
90006,"Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights","$1,068,837 ","$1,009,531 ","$835,708 ","$824,063 ","$897,243 ","$746,634 "
90007,"Southeast Los Angeles, Univerity Park","$950,737 ","$904,919 ","$734,284 ","$709,788 ","$830,841 ","$648,065 "
90008,"Baldwin Hills, Crenshaw, Leimert Park","$1,269,041 ","$1,257,881 ","$955,618 ","$881,309 ","$1,036,053 ","$816,891 "
90010,"Hancock Park, Wilshire Center, Windsor Square","$996,518 ","$942,000 ","$943,000 ","$857,000 ","$871,000 ","$859,000 "
90011,Southeast Los Angeles,"$591,464 ","$557,209 ","$449,686 ","$429,527 ","$512,231 ","$389,952 "
90012,"Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo","$919,290 ","$887,056 ","$777,366 ","$721,857 ","$858,244 ","$704,321 "
90013,"Downtown Central, Downtown Fashion District","$736,715 ","$643,000 ","$631,000 ","$605,000 ","$625,000 ","$698,432 "
90014,"Downtown Historic Core, Arts District","$522,213 ","$521,000 ","$516,000 ","$484,000 ","$504,000 ","$474,000 "
90015,"Dowtown Fashion District, South Park-South","$870,330 ","$831,927 ","$735,468 ","$698,353 ","$809,394 ","$661,018 "
90016,"Mid-City, West Adams","$1,123,341 ","$1,088,309 ","$861,305 ","$800,333 ","$937,037 ","$718,450 "
90017,"Downtown Bunker Hill, City West, South Park-North","$737,443 ","$734,129 ","$685,820 ","$769,360 ","$735,060 ","$780,216 "
90018,"Jefferson Park, Leimert Park","$968,113 ","$949,161 ","$787,187 ","$746,403 ","$836,470 ","$680,986 "
