Zip Code,City / Community,2022,2021,2020,2019,2018,2017
90001,Florence-Firestone,549616,527284,423635,397713,471901,366777
90002,Watts,549846,529007,417486,391204,458807,356381
90003,Florence,560142,543489,429998,402692,475225,366072
90004,Hancock Park,1883961,1861034,1524425,1527987,1642059,1420363
90005,Hancock Park,1989313,1949094,1655776,1643212,1705579,1528888
90006,Harvard Heights,1068837,1009531,835708,824063,897243,746634
90007,Univerity Park,950737,904919,734284,709788,830841,648065
90008,Baldwin Hills,1269041,1257881,955618,881309,1036053,816891
90010,Hancock Park,996518,942000,943000,857000,871000,859000
90011,Historic South-Central,591464,557209,449686,429527,512231,389952
90012,Chinatown,919290,887056,777366,721857,858244,704321
90013,Downtown,736715,643000,631000,605000,625000,698432
90014,Downtown,522213,521000,516000,484000,504000,474000
90015,Dowtown,870330,831927,735468,698353,809394,661018
90016,Mid-City,1123341,1088309,861305,800333,937037,718450
90017,Downtown ,737443,734129,685820,769360,735060,780216
90018,Jefferson Park,968113,949161,787187,746403,836470,680986
90019,Arlington Heights,1471512,1414897,1147758,1155288,1245992,1051889
90020,Hancock Park,4025889,3912372,3223580,3265539,3598765,2712691
90021,Downtown,853401,782000,673000,551000,607000,522000
90022,East Los Angeles,633491,609694,488738,472784,539261,442518
90023,Boyle Heights,610609,591909,464372,438508,524141,414111
90024,Westwood,3156581,3099426,2742479,2755228,2898262,2630376
90025,Sawtelle,1836650,1782620,1599440,1611814,1665218,1497566
90026,Echo Park,1248499,1184018,970894,952546,1051529,892635
90027,Griffith Park,2124748,2052024,1670294,1496217,1850592,1427241
90028,Hollywood,1361104,1336577,1149472,1148967,1226327,1064031
90029,East Hollywood,1211738,1198813,989957,937562,1089349,857210
90031,Lincoln Heights,854052,851419,666096,647978,725754,611182
90032,El Sereno,827944,829424,639483,628717,699356,569613
90033,Boyle Heights,677960,653091,520462,513971,573329,462884
90034,Palms,1709974,1686863,1444480,1410966,1552944,1311433
90035,Pico-Robertson,2243960,2106159,1856850,1848856,1966555,1694815
90036,Fairfax,2206850,2185737,1961495,1974661,2020994,1801707
90037,Vermont Square,672591,649541,515931,490698,571519,438567
90038,Hollywood,1348140,1315173,1198308,1215773,1260037,1119234
90039,Atwater Village,1398967,1341963,1058462,1041733,1145876,954854
90040,Commerce,613518,590966,478891,465789,524108,437536
90041,Eagle Rock,1297105,1252706,928777,939939,1042936,868692
90042,Highland Park,1099948,1096004,821150,829881,892596,768745
90043,Hyde Park,934795,937240,703010,670186,792690,618772
90044,Athens,626229,611684,467208,443238,532263,409284
90045,Westchester,1522591,1480961,1222316,1239386,1314026,1152864
90046,West Hollywood,2289112,2192391,1879146,1885149,2032543,1802788
90047,Vermont Vista,706461,691279,528280,503653,592991,460893
