Date,CPI_ALL,Employment,Unemployment,Crime,CPI_Housing,CPI_Food,CPI_edu,CPI_medicare,CPI_fuels,CPI_recreation
2013-01,238.015,56,10.9,167.9,282.77,239.902,142.761,406.091,287.171,102.276
2013-02,239.753,56.6,10.3,140.76,283.004,238.699,144.206,408.199,288.568,103.67
2013-03,239.995,56.5,9.8,162.33,283.613,238.345,144.189,405.563,286.947,104.036
2013-04,239.043,56.9,9.4,157.32,283.952,238.736,143.876,406.823,280.664,104.044
2013-05,239.346,57,9.6,166.08,284.86,238.235,143.571,405.528,286.392,103.919
2013-06,239.223,56.7,10.2,161.16,285.473,239.293,143.68,405.475,282.312,102.933
2013-07,238.92,56.6,10.5,166.48,285.58,238.068,143.795,405.431,283.363,102.738
2013-08,239.219,56.6,10.1,174.41,286.46,238.624,144.967,413.225,283.13,103.244
2013-09,239.611,57.3,9.6,162.35,287.035,239.973,145.186,412.996,280.722,103.056
2013-10,239.94,56.7,9.5,162.51,287.706,240.226,144.766,413.429,289.846,103.724
2013-11,238.677,57.2,8.9,153.52,287.312,239.427,144.146,414.957,286.217,104.063
2013-12,238.742,57,8.6,153.53,287.854,239.529,144.497,414.132,289.533,104.029
2014-01,239.857,56.8,8.9,161.59,288.598,240.545,144.352,423.078,290.901,104.616
2014-02,241.059,57.2,8.8,136.33,289.436,240.51,144.614,424.179,292.812,105.583
2014-03,242.491,57.4,8.6,155.52,289.55,241.915,145.109,417.597,296.744,105.066
2014-04,242.437,57.7,7.8,153.79,290.024,242.866,145.52,410.183,267.838,105.801
2014-05,243.362,57.6,8,166.5,290.233,243.744,145.428,413.226,297.956,105.343
2014-06,243.528,57.4,8.3,163.17,290.746,244.082,145.206,416.227,302.916,105.751
2014-07,243.727,57.4,9,171.78,292.819,244.803,145.071,416.631,305.53,105.336
2014-08,243.556,57.4,8.7,169.95,293.381,246.073,145.913,416.627,301.695,104.389
2014-09,243.623,58.1,8,166.94,294.404,246.471,145.524,417.119,302.47,105.393
2014-10,243.341,58,7.8,172.54,295.041,247.05,145.833,415.879,304.815,104.948
2014-11,241.753,58.2,7.6,159.12,295.807,247.926,145.998,421.072,300.072,103.032
2014-12,240.475,58,7.2,171.23,296.369,248.373,146.118,424.437,303.089,102.267
2015-01,239.724,57.8,7.8,182.61,297.583,248.959,145.22,424.232,296.41,102.217
2015-02,241.297,58.1,7.4,158.72,298.537,248.892,145.243,418.58,296.282,102.833
2015-03,243.738,58,7.1,178.55,299.897,248.363,145.71,421.601,295.36,102.86
2015-04,243.569,58.3,6.8,168.06,300.314,249.003,146.701,422.773,294.684,102.83
2015-05,246.093,58.4,6.9,177.9,301.386,247.443,146.251,421.132,298.753,103.319
2015-06,245.459,57.8,6.9,174.06,302.387,247.561,146.03,422.304,293.574,104.313
2015-07,247.066,57.7,7.2,185.34,303.424,249.259,146.469,424.68,294.852,104.267
2015-08,246.328,57.5,6.7,188.35,304.185,248.66,146.567,424.885,295.443,103.423
2015-09,245.431,58,6.2,181.22,304.641,249.965,147.006,426.277,295.078,103.544
2015-10,245.812,58.1,6,190.41,305.625,251.272,147.283,433.038,297.508,106.169
2015-11,245.711,58.6,5.7,172.32,306.503,251.7,147.079,443.047,291.09,106.536
2015-12,245.357,58.2,5.5,180.59,307.81,249.752,146.643,443.162,290.88,106.622
2016-01,247.155,58.3,5.8,189.04,309.527,251.903,146.789,445.247,294.663,108.878
2016-02,247.113,58.9,5.5,171.76,310.774,253.685,144.245,457.056,295.788,107.655
2016-03,247.873,59,5.3,180.87,312.834,251.983,145.086,449.147,294.079,106.944
2016-04,248.368,59.2,5,184.34,312.811,251.897,145.919,448.437,295.939,107.34
2016-05,249.554,59.1,4.8,188.59,314.443,250.51,145.504,459.277,300.793,107.517
2016-06,249.789,58.8,5.4,187.91,315.521,251.004,145.366,464.415,300.817,106.631
2016-07,249.784,59.1,5.8,192.19,317.028,251.194,143.58,464.498,301.456,106.964
2016-08,249.7,58.8,5.7,192.72,318.65,250.82,143.228,467.393,303.35,106.315
2016-09,250.145,59.6,5.5,182.95,319.854,250.958,141.794,466.43,303.548,106.986
2016-10,251.098,59.3,5.3,194.4,320.795,251.982,141.982,466.477,312.131,106.914
2016-11,250.185,59.7,4.9,177.79,321.725,250.967,142.028,463.349,305.275,105.287
2016-12,250.189,59.4,4.9,189.93,322.695,251.893,141.694,465.171,306.812,104.464
2017-01,252.373,59.4,5.3,195.02,325.595,253.317,141.298,465.997,304.962,106.123
2017-02,253.815,60.1,5.1,169.45,327.217,253.438,143.463,465.127,304.509,106.204
2017-03,254.525,60.4,4.7,192.2,327.75,254.571,142.117,465.952,303.031,106.272
2017-04,254.971,60.4,4.5,185.63,327.432,254.321,141.997,467.445,306.09,107.131
2017-05,255.674,60.3,4.4,192.57,328.269,255.381,142.072,469.064,313.977,107.409
