Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,238.015,239.753,239.995,239.043,239.346,239.223,238.920,239.219,239.611,239.940,238.677,238.742,239.207,239.229,239.185
2014,239.857,241.059,242.491,242.437,243.362,243.528,243.727,243.556,243.623,243.341,241.753,240.475,242.434,242.122,242.746
2015,239.724,241.297,243.738,243.569,246.093,245.459,247.066,246.328,245.431,245.812,245.711,245.357,244.632,243.313,245.951
2016,247.155,247.113,247.873,248.368,249.554,249.789,249.784,249.700,250.145,251.098,250.185,250.189,249.246,248.309,250.184
2017,252.373,253.815,254.525,254.971,255.674,255.275,256.023,256.739,257.890,258.883,259.135,259.220,256.210,254.439,257.982
2018,261.235,263.012,264.158,265.095,266.148,265.522,266.007,266.665,268.032,269.482,268.560,267.631,265.962,264.195,267.730
2019,269.468,269.608,271.311,273.945,274.479,274.380,274.682,274.579,276.054,278.075,277.239,275.553,274.114,272.199,276.030
2020,277.755,278.657,276.589,275.853,276.842,278.121,279.899,280.116,279.366,279.947,280.102,279.560,278.567,277.303,279.832
2021,280.178,281.347,282.648,285.808,287.620,289.218,290.890,291.333,292.209,294.961,296.790,297.925,289.244,284.470,294.018
2022,301.209,302.164,306.679,308.302,310.649,314.072,313.415,313.608,315.033,317.014,314.633,312.601,310.782,307.179,314.384
2023,318.591,317.571,,,,,,,,,,,,,
