Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,142.761,144.206,144.189,143.876,143.571,143.680,143.795,144.967,145.186,144.766,144.146,144.497,144.137,143.714,144.560
2014,144.352,144.614,145.109,145.520,145.428,145.206,145.071,145.913,145.524,145.833,145.998,146.118,145.391,145.038,145.743
2015,145.220,145.243,145.710,146.701,146.251,146.030,146.469,146.567,147.006,147.283,147.079,146.643,146.350,145.859,146.841
2016,146.789,144.245,145.086,145.919,145.504,145.366,143.580,143.228,141.794,141.982,142.028,141.694,143.935,145.485,142.384
2017,141.298,143.463,142.117,141.997,142.072,142.449,143.696,143.587,144.088,144.561,144.767,144.025,143.177,142.233,144.121
2018,144.444,144.182,143.910,143.872,144.240,144.897,145.628,146.413,148.874,148.240,147.138,146.245,145.674,144.258,147.090
2019,146.179,146.560,146.326,146.969,147.015,147.723,148.046,148.897,149.287,149.112,149.289,149.031,147.870,146.795,148.944
2020,149.118,149.002,148.729,149.159,149.334,148.297,150.956,151.748,150.811,151.505,151.268,151.838,150.147,148.940,151.354
2021,149.515,149.850,147.020,146.927,147.137,148.386,148.291,148.759,152.655,153.911,154.044,154.360,150.071,148.139,152.003
2022,154.764,152.117,151.545,152.197,152.518,154.579,155.764,157.399,155.189,155.490,155.897,155.475,154.411,152.953,155.869
2023,155.327,155.873,,,,,,,,,,,,,
