Year,Period,civilian noninstitutional population,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2013,Jan,7846618,62.9,56,4933076,4397434,535642,10.9
2013,Feb,7852047,63,56.6,4947961,4440687,507274,10.3
2013,Mar,7857778,62.6,56.5,4919424,4435904,483520,9.8
2013,Apr,7863789,62.8,56.9,4940090,4475756,464334,9.4
2013,May,7869497,63,57,4960904,4487059,473845,9.6
2013,Jun,7875230,63.2,56.7,4973838,4466099,507739,10.2
2013,Jul,7880947,63.2,56.6,4983447,4458888,524559,10.5
2013,Aug,7886029,63,56.6,4967266,4466761,500505,10.1
2013,Sep,7891167,63.4,57.3,5004374,4525437,478937,9.6
2013,Oct,7896218,62.7,56.7,4950605,4480378,470227,9.5
2013,Nov,7901056,62.8,57.2,4960556,4516663,443893,8.9
2013,Dec,7906163,62.3,57,4928127,4505731,422396,8.6
2014,Jan,7911512,62.4,56.8,4932920,4491792,441128,8.9
2014,Feb,7916178,62.7,57.2,4966462,4528375,438087,8.8
2014,Mar,7921149,62.9,57.4,4979418,4549866,429552,8.6
2014,Apr,7926399,62.6,57.7,4959500,4574751,384749,7.8
2014,May,7931353,62.6,57.6,4965151,4566978,398173,8
2014,Jun,7936313,62.5,57.4,4962997,4553287,409710,8.3
2014,Jul,7941258,63,57.4,5003595,4554827,448768,9
2014,Aug,7946144,62.8,57.4,4992582,4558501,434081,8.7
2014,Sep,7951022,63.2,58.1,5025054,4621530,403524,8
2014,Oct,7955896,62.9,58,5001432,4610767,390665,7.8
2014,Nov,7960531,63,58.2,5015346,4632201,383145,7.6
2014,Dec,7965412,62.6,58,4984485,4623173,361312,7.2
2015,Jan,7970565,62.7,57.8,4998661,4606821,391840,7.8
2015,Feb,7975025,62.8,58.1,5006806,4634817,371989,7.4
2015,Mar,7979779,62.5,58,4985341,4630585,354756,7.1
2015,Apr,7984810,62.6,58.3,4995691,4656778,338913,6.8
2015,May,7989559,62.7,58.4,5009124,4664970,344154,6.9
2015,Jun,7994292,62.1,57.8,4966491,4623115,343376,6.9
2015,Jul,7999045,62.3,57.7,4979621,4618980,360641,7.2
2015,Aug,8002639,61.6,57.5,4931874,4599032,332842,6.7
2015,Sep,8006257,61.8,58,4949908,4645244,304664,6.2
2015,Oct,8009856,61.7,58.1,4945012,4650729,294283,6
2015,Nov,8013179,62.1,58.6,4975723,4692824,282899,5.7
2015,Dec,8016801,61.6,58.2,4940815,4668747,272068,5.5
2016,Jan,8020680,61.9,58.3,4961623,4675665,285958,5.8
2016,Feb,8023866,62.3,58.9,5000463,4726391,274072,5.5
2016,Mar,8027345,62.3,59,5003700,4739281,264419,5.3
2016,Apr,8031060,62.3,59.2,5004059,4753047,251012,5
2016,May,8034531,62.1,59.1,4990487,4750214,240273,4.8
2016,Jun,8038025,62.2,58.8,4996938,4725065,271873,5.4
2016,Jul,8041476,62.8,59.1,5047730,4752593,295137,5.8
2016,Aug,8043601,62.4,58.8,5020760,4732734,288026,5.7
2016,Sep,8045694,63.1,59.6,5074790,4795101,279689,5.5
2016,Oct,8047834,62.7,59.3,5042943,4775156,267787,5.3
2016,Nov,8049641,62.8,59.7,5055908,4806409,249499,4.9
2016,Dec,8051768,62.4,59.4,5027638,4782846,244792,4.9
2017,Jan,8069095,62.8,59.4,5065253,4796355,268898,5.3
2017,Feb,8070994,63.3,60.1,5111439,4852845,258594,5.1
2017,Mar,8073161,63.4,60.4,5120580,4880017,240563,4.7
2017,Apr,8075594,63.3,60.4,5109231,4880002,229229,4.5
2017,May,8077722,63.1,60.3,5096976,4870869,226107,4.4
2017,Jun,8079891,62.9,59.9,5086085,4839704,246381,4.8
2017,Jul,8082058,63.5,60.1,5134456,4856570,277886,5.4
2017,Aug,8082245,63.1,59.7,5096249,4823458,272791,5.4
2017,Sep,8082473,63.8,60.8,5159818,4913451,246367,4.8
2017,Oct,8082675,63.3,60.4,5114953,4883230,231723,4.5
2017,Nov,8082602,63.5,60.7,5133365,4906231,227134,4.4
2017,Dec,8082807,63,60.2,5089316,4866704,222612,4.4
