Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,239.902,238.699,238.345,238.736,238.235,239.293,238.068,238.624,239.973,240.226,239.427,239.529,239.088,238.868,239.308
2014,240.545,240.510,241.915,242.866,243.744,244.082,244.803,246.073,246.471,247.050,247.926,248.373,244.530,242.277,246.783
2015,248.959,248.892,248.363,249.003,247.443,247.561,249.259,248.660,249.965,251.272,251.700,249.752,249.236,248.370,250.101
2016,251.903,253.685,251.983,251.897,250.510,251.004,251.194,250.820,250.958,251.982,250.967,251.893,251.566,251.830,251.302
2017,253.317,253.438,254.571,254.321,255.381,254.967,256.155,255.487,256.658,255.959,256.382,257.263,255.325,254.333,256.317
2018,258.138,257.405,258.222,260.079,259.252,258.121,259.476,259.946,259.086,259.845,261.228,261.875,259.389,258.536,260.243
2019,263.128,263.133,264.112,265.788,266.326,265.569,266.975,266.821,268.178,268.773,268.232,267.623,266.222,264.676,267.767
2020,271.402,272.546,271.669,276.101,278.810,279.880,279.461,280.291,280.194,281.665,281.077,281.658,277.896,275.068,280.724
2021,282.411,283.522,283.505,287.089,288.225,288.486,289.881,291.593,293.122,297.368,298.977,300.134,290.359,285.540,295.179
2022,302.536,303.742,307.249,308.581,311.948,314.494,316.016,317.736,320.536,320.025,321.688,321.802,313.863,308.092,319.634
2023,324.189,326.720,,,,,,,,,,,,,
