Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,282.770,283.004,283.613,283.952,284.860,285.473,285.580,286.460,287.035,287.706,287.312,287.854,285.468,283.945,286.991
2014,288.598,289.436,289.550,290.024,290.233,290.746,292.819,293.381,294.404,295.041,295.807,296.369,292.201,289.765,294.637
2015,297.583,298.537,299.897,300.314,301.386,302.387,303.424,304.185,304.641,305.625,306.503,307.810,302.691,300.017,305.365
2016,309.527,310.774,312.834,312.811,314.443,315.521,317.028,318.650,319.854,320.795,321.725,322.695,316.388,312.652,320.125
2017,325.595,327.217,327.750,327.432,328.269,328.422,330.223,332.242,333.103,335.768,335.881,336.552,330.705,327.448,333.962
2018,337.756,339.782,342.368,344.663,346.704,346.681,346.981,349.244,351.857,351.784,352.139,353.056,346.918,342.992,350.844
2019,355.952,356.982,359.475,361.669,361.789,364.285,365.102,366.290,367.156,368.322,370.434,369.854,363.943,360.025,367.860
2020,370.579,372.271,372.238,373.697,374.276,375.172,377.002,376.498,375.451,375.196,374.409,374.059,374.237,373.039,375.436
2021,374.862,375.778,375.676,376.875,378.182,379.449,381.105,380.890,381.714,383.359,385.570,386.939,380.033,376.804,383.263
2022,389.034,389.980,391.014,393.393,395.023,396.161,397.446,400.693,402.407,404.703,405.616,407.918,397.782,392.434,403.131
2023,409.720,410.139,,,,,,,,,,,,,
