Neighborhood,2022,2021,2020,2019,2018,2017
Acton,866524,841225,620082,611452,689445,584092
Agoura Hills,1329658,1238322,957748,961194,1046715,953781
Agua Dulce,915027,885919,667503,663575,733969,642369
Alhambra,919684.5,906104,723324.5,722779.5,788385,677070.5
Altadena,1231663,1205289,894732,880781,992353,838237
Arcadia,1417522,1377426,1120310.5,1176686,1208827,1142378.5
Arleta,706734,686607,514725,502328,582706,462897
Arlington Heights,1471512,1414897,1147758,1155288,1245992,1051889
Artesia,756305,736774,576064,573205,646173,544403
Athens,626229,611684,467208,443238,532263,409284
Atwater Village,1398967,1341963,1058462,1041733,1145876,954854
Avalon,889705,878902,900507,941862,901470,823027
Avocado Heights,666245,633865,494442,492684,549523,458944
Azusa,698439,667087,523485.5,517254,582247,487835.5
Baldwin Hills,1269041,1257881,955618,881309,1036053,816891
Baldwin Park,646330,610851,479000,482219,533571,445371
Bel-Air,3495690,3410227,2887519,2936688,3090503,2892473
Bell,609525.5,576721.5,458573,442925.5,508540.5,418190.5
Bellflower,719271,689042,541922,536254,603302,508190
Beverly Grove,2564109,2383831,2172392,2188862,2335755,2047903
Beverly Hills,4434552.333,4390575.333,3707041.667,3714646,4047840.667,3478711.333
Boyle Heights,649353.3333,636367.3333,496057,480197.6667,552177,438015.6667
Bradbury,1722608,1587303,1399154,1400616,1425612,1399706
Brentwood,3899379,3820599,3293094,3387733,3516342,3348305
Burbank,1174825,1141943.8,878742.6,868760,968112.4,812632.8
Calabasas,2171664,2016975,1555081,1571954,1678042,1533673
Canoga Park,873633.5,857472.5,640431,629406,706571,596511
Carson,735291.3333,706398.6667,553486,533233.6667,611609.6667,499439
Castaic,795980,764006,585486,580870,638389,558216
Century City,1786840,1805270,1691407,1660507,1778265,1683363
Cerritos,961083,937559,749151,752850,812236,732410
Charter Oak,826371,799010,617648,606829,680511,586759
Chatsworth,960530,926403,697201,687552,770544,663393
Cheviot Hills,2109712,2007600,1810964,1817617,1904486,1694110
Chinatown,919290,887056,777366,721857,858244,704321
Claremont,926726,890177,702520,694026,762563,671295
Commerce,613518,590966,478891,465789,524108,437536
Compton,570829.3333,557245.6667,427969,410490.3333,483629.6667,379047.6667
Covina,721811.5,696049.5,533906,532377.5,594130,505639
Culver City,1725034.333,1679334,1405285,1399204.333,1512295.667,1291572
Cypress Park,1151787,1118811,867157,863861,947753,802583
Diamond Bar,986194,933628,733513,745420,790634,736980
Downey,776690,755722.3333,605484.6667,595065.6667,663577,563264
Downtown,704109.6667,648666.6667,606666.6667,546666.6667,578666.6667,564810.6667
Downtown ,737443,734129,685820,769360,735060,780216
Dowtown,870330,831927,735468,698353,809394,661018
Eagle Rock,1297105,1252706,928777,939939,1042936,868692
East Hollywood,1211738,1198813,989957,937562,1089349,857210
East La Mirada,767396,738435,569648,565823,638071,542923
East Los Angeles,633491,609694,488738,472784,539261,442518
Echo Park,1248499,1184018,970894,952546,1051529,892635
El Monte,671799.3333,647989,517005,529254.3333,572599,493662.3333
El Segundo,1839114,1787502,1416916,1420631,1600480,1349352
El Sereno,827944,829424,639483,628717,699356,569613
Elizabeth Lake,398705,398595,296259,286604,329280,273498
Encino,1952363.5,1802800.5,1380187,1392314.5,1514772.5,1325286.5
Fairfax,2206850,2185737,1961495,1974661,2020994,1801707
Florence,560142,543489,429998,402692,475225,366072
Florence-Firestone,549616,527284,423635,397713,471901,366777
Gardena,766396.6667,742242.3333,584664.6667,572827.6667,639473.3333,536346
Glendale,1231945.5,1176797.4,914584.2,913552.2,999355,850200.7
Glendora,854813,822958,642622,648860,707428,623258
Granada Hills,928284,918165,676096,663203,762967,628711
Griffith Park,2124748,2052024,1670294,1496217,1850592,1427241
Hacienda Heights,904155,858621,676851,673656,735132,648237
Hancock Park,2223920.25,2166125,1836695.25,1823434.5,1954350.75,1630235.5
Harbor City,849182,817947,636825,613521,703168,593081
Harvard Heights,1068837,1009531,835708,824063,897243,746634
Hawaiian Gardens,643815,614515,485406,460886,548054,430229
Hawthorne,845161,842778,666660,652128,737181,603088
Hermosa Beach,2479272,2334453,1932767,1960841,2122950,1936488
Highland Park,1099948,1096004,821150,829881,892596,768745
Historic South-Central,591464,557209,449686,429527,512231,389952
Hollywood,1585774.333,1526710.333,1313079.667,1323089.333,1411067.333,1247012.333
Huntington Park,629790,583688,462507,446902,520374,418328
Hyde Park,934795,937240,703010,670186,792690,618772
Inglewood,772888.6,769258.6,591305.6,575160,670707.8,525201
Jefferson Park,968113,949161,787187,746403,836470,680986
La Canada Flintridge,1956655,1810224,1455011,1487336,1587462,1438796
La Crescenta-Montrose,1018845,979293,792248,785385,871407,743941
La Mirada,821560,788157,613090,614327,677759,587530
La Puente,656465,625164,484716,477178,534637,452931
La Verne,887524,858499,668232,666461,737589,642542
Ladera Heights,1785614,1698714,1349013,1304300,1500324,1140045
Lake Balboa,849795,854315,630541,623869,705450,581459
Lake Los Angeles,386300.5,357993,267465,254202,294506,228204
Lake View Terrace,759194,739139,557786,543774,624242,511405
Lakewood,794960.3333,775356,593344.3333,587598,667235,564006.6667
Lancaster,445821.3333,429516,306697,297469,345058.3333,271485.3333
Lawndale,796129,794320,626377,590335,683390,560077
Lincoln Heights,854052,851419,666096,647978,725754,611182
Littlerock,437865,410040,301256,295282,345677,271828
Lomita,889101,897984,701911,689349,784929,653832
Long Beach,884945.6,863238.8,673331.7,662434.4,741310.4,631286
Lynwood,612184,586096,460098,438763,511408,413883
Malibu,4623281,4424548,3664342,3938325,3922568,3855834
Manhattan Beach,3117528,3006272,2516696,2336793,2712620,2223343
Marina del Rey,1605357,1602890,1388832,1386186,1488864,1323010
Mid-City,1123341,1088309,861305,800333,937037,718450
Mission Hills,770507,760117,568069,557512,634349,524945
Monrovia,955435,912726,734889,740654,800701,702954
Montebello,725527,707920,572262,563020,634055,531878
Monterey Park,892876.5,864377.5,691395.5,688604,758056,655830
North Hills,874801,862481,624511,611507,714888,578879
North Hollywood,933755,911146.6667,703730.6667,696175,795388.3333,638712.3333
Northridge,1067310.667,1021887,755896.6667,741639,839103.3333,708969.6667
