Neighborhood,Total Population,American Indian & Alaska Native,Asian,Black or African American,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),Some Other Race,Two or More Races,Hispanic or Latino
Los Angeles,3902440,35661,457224,336973,5926,1095259,935296,380558,1890337
Adams-Normandie,6550,40,438,982,58,640,2287,629,4370
Arleta,37114,424,4678,370,52,3547,10075,3814,27924
Arlington Heights,14121,48,1952,2166,224,639,5431,1280,8920
Arlington Park,3093,0,13,1425,0,124,719,51,1899
Atwater Village,10563,418,2462,51,0,3621,2170,1015,3877
Baldwin Hills,24290,191,672,14281,56,2176,3052,2256,6838
Bel Air,6541,8,515,106,0,5009,130,719,359
Beverly Crest,5050,9,185,246,0,4069,28,387,266
Beverly Glen,4040,0,327,48,0,3058,10,514,381
Beverlywood-Castle Heights,15184,81,2148,275,0,10212,634,1020,1782
Boyle Heights,88964,1348,2014,1209,73,1918,50067,7774,83426
Brentwood,33182,58,2356,448,0,25848,493,2769,2768
Broadway-Manchester,13030,246,106,2950,0,41,4465,2725,9918
Byzantine-Latino Quarter,22056,84,3523,582,28,757,8847,2991,17093
Cadillac-Corning,5954,92,425,1210,6,1047,1852,612,2982
Cahuenga Pass,3485,0,151,39,0,2585,29,263,558
Canoga Park,61127,663,8579,2943,17,14570,20797,4357,33578
Carthay,1519,0,74,48,0,1210,0,187,37
Central-Alameda,27271,476,127,2295,28,176,13182,2100,24402
Century City,2450,0,465,56,0,1754,95,80,122
Century Cove,20111,569,113,4385,10,63,5767,2296,15424
Century Palms,12292,635,156,2330,0,105,2936,2170,9443
Chatsworth,40686,184,6299,2940,47,17383,5263,4680,12318
Cheviot Hills,3791,0,261,52,0,2896,96,392,215
Chinatown & Historic L.A.,23690,286,6921,4375,49,3316,4943,2008,8101
Country Club Park,10706,22,2886,1990,22,1510,1817,1089,4215
Crestview,15237,21,1433,3584,0,7268,1046,925,2240
Cypress Park,14142,386,2075,234,0,1998,5099,1489,9527
Del Rey,34237,146,5252,1696,0,13522,4180,3684,12202
Downtown,54901,586,13339,9188,147,14085,7168,5228,15650
Eagle Rock,35723,614,9148,745,43,11013,5319,4512,12788
East Hollywood,40850,284,5837,1398,40,12121,14554,2795,20489
Echo Park,30636,206,4808,746,48,9118,9672,2878,14535
El Sereno,40497,566,4437,602,0,2924,18998,3930,32114
Elysian Park,109,0,25,0,1,12,42,11,66
Elysian Valley,6373,66,1915,70,50,1084,1850,417,3079
Encino,53441,137,3089,1339,18,39457,1716,3994,6760
Faircrest Heights,7129,57,520,2234,0,598,1760,600,3887
Fairfax,10627,0,2028,286,0,6915,314,561,1048
Figueroa Park Square,15586,167,106,5538,9,289,3441,1549,9478
Florence (LA),55192,1074,210,9332,101,235,25394,6456,44800
Glassell Park,22911,644,4075,429,7,5575,6711,3034,12065
Gramercy Park,10480,1,22,6508,88,207,1414,1128,2817
Granada Hills,64336,522,11269,1885,42,27332,7721,7323,21580
Green Meadows,21683,500,86,4288,28,70,7131,3004,16865
Griffith Park/Los Feliz,31936,126,3871,849,54,20118,2748,2345,5765
Hancock Park,11239,2,2085,518,4,6946,259,938,1263
Hansen Dam Rec Area,47,0,12,0,0,10,6,19,25
Harbor City,25979,60,5468,2512,192,4515,4611,2712,12894
Harbor Gateway,42015,119,7607,6272,36,2587,13944,5276,24572
Harvard Heights,11553,187,2770,388,0,651,4315,1395,7715
Hermon,2925,83,515,73,0,957,429,526,1202
Highland Park,42966,1629,4275,847,10,8293,13282,6384,28240
Historic South Central,52068,733,3019,773,86,960,24800,5747,47242
Historic West Adams,9694,32,866,1959,6,652,3052,965,6321
