Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,406.091,408.199,405.563,406.823,405.528,405.475,405.431,413.225,412.996,413.429,414.957,414.132,409.321,406.280,412.362
2014,423.078,424.179,417.597,410.183,413.226,416.227,416.631,416.627,417.119,415.879,421.072,424.437,418.021,417.415,418.628
2015,424.232,418.580,421.601,422.773,421.132,422.304,424.680,424.885,426.277,433.038,443.047,443.162,427.143,421.770,432.515
2016,445.247,457.056,449.147,448.437,459.277,464.415,464.498,467.393,466.430,466.477,463.349,465.171,459.741,453.930,465.553
2017,465.997,465.127,465.952,467.445,469.064,469.507,474.778,474.509,476.051,476.461,476.833,475.129,471.404,467.182,475.627
2018,475.556,474.901,479.468,478.342,480.668,479.922,480.464,468.339,469.547,472.920,473.339,474.709,475.681,478.143,473.220
2019,481.041,482.174,478.912,482.458,484.009,484.327,486.727,486.938,480.073,484.305,485.276,485.696,483.495,482.154,484.836
2020,498.270,499.208,500.341,499.720,511.177,506.888,511.623,507.625,509.253,506.799,507.010,506.219,505.344,502.601,508.088
2021,509.547,507.285,505.630,508.953,510.991,510.542,511.849,510.897,512.342,516.343,518.378,519.176,511.828,508.825,514.831
2022,528.168,537.117,538.381,542.186,547.781,554.625,557.440,546.372,547.429,553.630,553.054,548.472,546.221,541.376,551.066
2023,558.533,556.341,,,,,,,,,,,,,
