Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,378.816,374.446,378.171,377.957,372.384,375.772,374.080,374.183,375.475,371.296,376.245,374.620,375.287,376.258,374.316
2014,377.278,378.864,375.490,380.011,377.429,374.648,380.773,381.447,381.001,379.760,381.349,382.251,379.192,377.287,381.097
2015,382.703,382.310,381.647,381.737,380.934,384.949,384.517,386.009,388.613,391.837,391.758,390.022,385.586,382.380,388.793
2016,390.459,392.085,389.418,389.765,391.155,386.699,390.008,392.387,394.520,391.495,393.168,393.012,391.181,389.930,392.432
2017,393.872,389.313,390.346,410.527,407.766,411.935,416.736,416.493,416.085,415.032,413.485,411.138,407.727,400.627,414.828
2018,415.821,426.575,426.264,428.541,428.442,426.226,428.248,427.913,430.392,430.469,431.331,429.497,427.477,425.312,429.642
2019,432.648,435.395,438.268,436.530,435.145,440.145,443.955,446.607,443.033,441.100,450.146,447.306,440.857,436.355,445.358
2020,449.830,446.751,445.003,450.417,449.121,460.930,459.519,453.984,442.513,449.762,452.822,454.213,451.239,450.342,452.136
2021,462.877,466.852,462.504,468.902,465.845,466.483,464.816,465.026,466.018,474.267,474.449,480.834,468.239,465.577,470.902
2022,475.003,471.452,476.838,479.117,482.482,484.584,488.129,489.187,485.279,490.726,492.348,484.586,483.311,478.246,488.376
2023,502.040,500.949,,,,,,,,,,,,,
