Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2013,208.428,217.344,217.370,213.931,215.046,215.103,215.505,212.072,212.379,209.012,206.238,206.019,212.371,214.537,210.204
2014,206.190,209.546,214.565,218.982,218.686,217.068,215.042,210.909,208.643,205.057,197.339,189.984,209.334,214.173,204.496
2015,184.091,191.014,201.691,200.506,213.384,208.484,214.516,207.441,198.005,194.011,192.619,191.681,199.787,199.862,199.712
2016,192.534,185.554,190.285,193.329,195.090,195.993,194.234,189.529,189.650,190.597,190.463,188.577,191.320,192.131,190.508
2017,192.435,195.460,197.847,198.562,199.023,198.722,196.789,197.851,201.216,199.790,204.715,203.134,198.795,197.008,200.583
2018,207.120,210.627,210.389,213.267,216.802,215.564,213.623,213.054,213.810,217.768,215.680,209.970,213.140,212.295,213.984
2019,209.141,210.461,212.514,223.435,224.193,218.918,217.078,214.119,217.643,225.128,221.128,213.991,217.312,216.444,218.181
2020,214.517,214.885,206.780,196.441,194.270,199.707,202.731,203.755,203.106,203.415,205.939,206.284,204.319,204.433,204.205
2021,208.813,211.493,216.878,225.729,232.220,236.538,238.876,236.982,235.491,238.859,244.320,245.065,230.939,221.945,239.932
2022,248.434,250.475,266.393,272.999,275.999,284.834,279.034,269.677,272.931,279.793,266.703,252.037,268.276,266.522,270.029
2023,255.814,259.474,,,,,,,,,,,,,
